AV車エッジ違反レポート
==================================================

総違反回数: 25 回

違反詳細:
時刻: 1.0s, 車両: 0, エッジ: 173941109#2
時刻: 2.0s, 車両: 1, エッジ: -173942078#1
時刻: 3.0s, 車両: 2, エッジ: 173942067#1
時刻: 4.0s, 車両: 3, エッジ: 557160722#1
時刻: 5.0s, 車両: 4, エッジ: -173941546#1
時刻: 9.0s, 車両: 8, エッジ: -496906168#2
時刻: 12.0s, 車両: 11, エッジ: 278539539
時刻: 16.0s, 車両: 15, エッジ: 278539455
時刻: 18.0s, 車両: 17, エッジ: 173941829
時刻: 19.0s, 車両: 18, エッジ: -173941788#2
時刻: 22.0s, 車両: 21, エッジ: 173941109#1
時刻: 24.0s, 車両: 23, エッジ: 173941109#4
時刻: 26.0s, 車両: 25, エッジ: -173941109#0
時刻: 28.0s, 車両: 27, エッジ: 155884542#1
時刻: 30.0s, 車両: 29, エッジ: -173941788#2
時刻: 33.0s, 車両: 32, エッジ: 173941139#2
時刻: 34.0s, 車両: 33, エッジ: 557160752#3
時刻: 37.0s, 車両: 36, エッジ: 170844796#2
時刻: 38.0s, 車両: 37, エッジ: E6
時刻: 43.0s, 車両: 42, エッジ: 67792329#0
時刻: 44.0s, 車両: 43, エッジ: -155875663#3
時刻: 47.0s, 車両: 46, エッジ: -170844796#1
時刻: 50.0s, 車両: 49, エッジ: 557160752#3
時刻: 181.0s, 車両: 10, エッジ: E3
時刻: 297.0s, 車両: 20, エッジ: E3

制限エッジ数: 14
違反車両除去: 有効
