AV信号予測・速度制御結果（統合監視システム）

実行時刻: 2025-07-22 18:01:46 - 18:02:07
実行時間: 21.0 秒

AV信号予測・速度制御統計:
- 総制御回数: 8878 回
- 平均青信号待ち時間(S): 24.5 秒
- 平均赤信号待ち時間(R): 41.7 秒
- 平均レーン長(L): 383.8 メートル
- 平均青信号時間(G): 49.0 秒
- 平均最適速度(V): 45.1 km/h
- 平均速度変化: 17.7 km/h
- 最大青信号待ち時間: 81.0 秒
- 最小青信号待ち時間: 0.0 秒  
- 最大赤信号待ち時間: 89.0 秒
- 最小赤信号待ち時間: 0.0 秒
- 最大レーン長: 1253.1 メートル
- 最小レーン長: 87.5 メートル
- 監視対象道路数: 24 個
- AV普及率: 50.0%

道路別制御統計:
道路-1: 102回制御, S=28.9s, V=51.4km/h, 速度変化=6.7km/h
道路-10: 230回制御, S=23.5s, V=42.2km/h, 速度変化=20.3km/h
道路-11: 81回制御, S=20.4s, V=34.2km/h, 速度変化=25.1km/h
道路-12: 44回制御, S=47.8s, V=15.8km/h, 速度変化=4.0km/h
道路-2: 166回制御, S=47.2s, V=24.8km/h, 速度変化=5.4km/h
道路-3: 562回制御, S=39.0s, V=48.7km/h, 速度変化=3.5km/h
道路-4: 130回制御, S=20.2s, V=52.5km/h, 速度変化=8.1km/h
道路-5: 132回制御, S=36.1s, V=45.0km/h, 速度変化=4.6km/h
道路-6: 110回制御, S=49.1s, V=20.2km/h, 速度変化=7.8km/h
道路-7: 432回制御, S=18.9s, V=55.6km/h, 速度変化=17.1km/h
道路-8: 938回制御, S=18.3s, V=45.3km/h, 速度変化=21.1km/h
道路-9: 674回制御, S=21.5s, V=41.0km/h, 速度変化=13.1km/h
道路1: 8回制御, S=28.5s, V=60.0km/h, 速度変化=16.2km/h
道路10: 458回制御, S=38.0s, V=48.5km/h, 速度変化=2.5km/h
道路11: 140回制御, S=45.8s, V=28.1km/h, 速度変化=8.3km/h
道路12: 102回制御, S=27.1s, V=44.7km/h, 速度変化=9.8km/h
道路2: 43回制御, S=52.0s, V=13.3km/h, 速度変化=3.4km/h
道路3: 132回制御, S=16.3s, V=47.8km/h, 速度変化=21.9km/h
道路4: 1396回制御, S=19.8s, V=41.3km/h, 速度変化=18.1km/h
道路5: 1433回制御, S=19.1s, V=46.3km/h, 速度変化=23.2km/h
道路6: 1291回制御, S=23.2s, V=51.1km/h, 速度変化=31.3km/h
道路7: 71回制御, S=12.6s, V=46.5km/h, 速度変化=27.8km/h
道路8: 79回制御, S=18.7s, V=55.4km/h, 速度変化=2.7km/h
道路9: 124回制御, S=39.5s, V=41.7km/h, 速度変化=2.9km/h
