time,step,vehicle_count,av_count,gasoline_count,total_stops,total_co2,gasoline_co2,av_co2
1.0,1,0,0,1,0,2.624722222222222,2.624722222222222,0.0
2.0,2,0,0,2,0,8.209110618215856,8.209110618215856,0.0
3.0,3,0,1,2,0,15.409629217799292,15.409629217799292,0.0
4.0,4,0,1,3,0,27.44558221545867,27.44558221545867,0.0
5.0,5,0,1,4,0,44.296593560914054,44.296593560914054,0.0
6.0,6,0,1,5,0,65.92204573742055,65.92204573742055,0.0
7.0,7,0,1,6,0,98.78205715572732,98.78205715572732,0.0
8.0,8,0,2,6,0,140.7159350431182,140.7159350431182,0.0
9.0,9,0,2,7,0,174.64311212839306,174.64311212839306,0.0
10.0,10,0,2,7,0,211.32607996335656,211.32607996335656,0.0
11.0,11,0,2,9,0,259.0996716303465,259.0996716303465,0.0
12.0,12,0,2,10,0,303.5377626345139,303.5377626345139,0.0
13.0,13,0,2,11,0,362.0028573098056,362.0028573098056,0.0
14.0,14,0,2,12,0,422.19576828293793,422.19576828293793,0.0
15.0,15,0,2,13,0,465.0213464456969,465.0213464456969,0.0
16.0,16,0,2,14,0,519.7522740458078,519.7522740458078,0.0
17.0,17,0,2,15,0,572.5631713043554,572.5631713043554,0.0
18.0,18,0,2,16,0,630.7221326278519,630.7221326278519,0.0
19.0,19,0,2,17,0,693.5767230126971,693.5767230126971,0.0
20.0,20,0,2,18,0,767.7541216651508,767.7541216651508,0.0
21.0,21,0,2,18,0,858.1741961813468,858.1741961813468,0.0
22.0,22,0,2,18,0,937.1124593544799,937.1124593544799,0.0
23.0,23,0,2,18,0,997.0344633754073,997.0344633754073,0.0
24.0,24,0,2,18,0,1069.7469882615992,1069.7469882615992,0.0
25.0,25,0,2,18,0,1142.1115656423328,1142.1115656423328,0.0
26.0,26,0,2,17,0,1203.466814155759,1203.466814155759,0.0
27.0,27,0,2,17,0,1258.3533226321226,1258.3533226321226,0.0
28.0,28,0,2,17,0,1310.5811453040772,1310.5811453040772,0.0
29.0,29,0,2,16,0,1364.630244238193,1364.630244238193,0.0
30.0,30,0,2,16,0,1418.6651421855088,1418.6651421855088,0.0
31.0,31,0,2,16,0,1462.0121611045922,1462.0121611045922,0.0
32.0,32,0,2,16,0,1512.5981424798774,1512.5981424798774,0.0
33.0,33,0,2,16,0,1562.7412942507788,1562.7412942507788,0.0
34.0,34,0,2,16,0,1617.470398893401,1617.470398893401,0.0
35.0,35,0,2,16,0,1685.483870542079,1685.483870542079,0.0
36.0,36,0,2,16,0,1779.8287152318212,1779.8287152318212,0.0
37.0,37,0,2,16,0,1876.5028262009123,1876.5028262009123,0.0
38.0,38,0,2,16,0,1953.0997628470602,1953.0997628470602,0.0
39.0,39,0,2,16,0,2052.165132543251,2052.165132543251,0.0
40.0,40,0,2,16,0,2117.495685689592,2117.495685689592,0.0
41.0,41,0,2,16,0,2201.082739279397,2201.082739279397,0.0
42.0,42,0,2,16,0,2237.8986780446207,2237.8986780446207,0.0
43.0,43,0,2,16,0,2302.5947350060683,2302.5947350060683,0.0
44.0,44,0,2,16,0,2380.967005740537,2380.967005740537,0.0
45.0,45,0,2,16,0,2451.8129818870757,2451.8129818870757,0.0
46.0,46,0,2,16,0,2516.353888962576,2516.353888962576,0.0
47.0,47,0,2,16,0,2572.388807120458,2572.388807120458,0.0
48.0,48,0,2,16,1,2625.2770528882747,2625.2770528882747,0.0
49.0,49,0,1,16,1,2672.4291966504034,2672.4291966504034,0.0
50.0,50,0,1,15,1,2718.7994738758175,2718.7994738758175,0.0
51.0,51,0,1,15,1,2776.5539344897215,2776.5539344897215,0.0
52.0,52,0,1,15,1,2848.0485537067316,2848.0485537067316,0.0
53.0,53,0,1,15,3,2912.3745224801332,2912.3745224801332,0.0
54.0,54,0,1,15,3,2978.4262486810367,2978.4262486810367,0.0
55.0,55,0,1,15,3,3027.829112913992,3027.829112913992,0.0
56.0,56,0,1,15,3,3084.7933139104916,3084.7933139104916,0.0
57.0,57,0,1,14,3,3140.2601376741486,3140.2601376741486,0.0
58.0,58,0,1,14,3,3188.9985537827088,3188.9985537827088,0.0
59.0,59,0,1,14,3,3247.9575104504743,3247.9575104504743,0.0
60.0,60,0,1,14,3,3318.416728149257,3318.416728149257,0.0
61.0,61,0,1,14,3,3386.751482316478,3386.751482316478,0.0
62.0,62,0,1,14,4,3458.0053328791882,3458.0053328791882,0.0
63.0,63,0,1,14,4,3537.1194735950858,3537.1194735950858,0.0
64.0,64,0,1,14,4,3633.9819685367006,3633.9819685367006,0.0
65.0,65,0,1,14,5,3744.4691599297407,3744.4691599297407,0.0
66.0,66,0,1,13,5,3786.2618659366667,3786.2618659366667,0.0
67.0,67,0,1,13,5,3843.863785225139,3843.863785225139,0.0
68.0,68,0,1,13,5,3890.5748561464616,3890.5748561464616,0.0
69.0,69,0,1,13,5,3929.102491879439,3929.102491879439,0.0
70.0,70,0,1,13,6,3957.6667702213317,3957.6667702213317,0.0
71.0,71,0,1,13,6,3976.1908167656675,3976.1908167656675,0.0
72.0,72,0,1,12,6,4000.251268665932,4000.251268665932,0.0
73.0,73,0,1,12,6,4018.443770638081,4018.443770638081,0.0
74.0,74,0,1,12,6,4040.364993956681,4040.364993956681,0.0
75.0,75,0,1,12,7,4063.069299393547,4063.069299393547,0.0
76.0,76,0,1,12,8,4094.3935227000493,4094.3935227000493,0.0
77.0,77,0,1,12,8,4129.460340012743,4129.460340012743,0.0
78.0,78,0,1,12,9,4168.132637371682,4168.132637371682,0.0
79.0,79,0,1,12,9,4191.742966261404,4191.742966261404,0.0
80.0,80,0,1,12,10,4221.000457116306,4221.000457116306,0.0
81.0,81,0,1,12,10,4253.744471816488,4253.744471816488,0.0
82.0,82,0,1,12,10,4279.551662269385,4279.551662269385,0.0
83.0,83,0,1,12,10,4305.7068292413915,4305.7068292413915,0.0
84.0,84,0,1,12,10,4334.031216323557,4334.031216323557,0.0
85.0,85,0,1,12,10,4363.348028763256,4363.348028763256,0.0
86.0,86,0,1,12,10,4389.663252768596,4389.663252768596,0.0
87.0,87,0,1,11,10,4415.802673276709,4415.802673276709,0.0
88.0,88,0,1,11,10,4445.864747317218,4445.864747317218,0.0
89.0,89,0,1,11,10,4474.688692251419,4474.688692251419,0.0
90.0,90,0,1,11,10,4502.667742516809,4502.667742516809,0.0
91.0,91,0,1,11,10,4530.644175369947,4530.644175369947,0.0
92.0,92,0,1,11,10,4562.394297436439,4562.394297436439,0.0
93.0,93,0,1,11,10,4599.260085815876,4599.260085815876,0.0
94.0,94,0,1,11,10,4639.094887350004,4639.094887350004,0.0
95.0,95,0,1,11,10,4680.2867607756425,4680.2867607756425,0.0
96.0,96,0,1,11,10,4725.729203475356,4725.729203475356,0.0
97.0,97,0,1,11,10,4762.419050264885,4762.419050264885,0.0
98.0,98,0,1,11,11,4807.869228332834,4807.869228332834,0.0
99.0,99,0,1,11,13,4861.987861603573,4861.987861603573,0.0
100.0,100,0,1,11,13,4921.284192045141,4921.284192045141,0.0
101.0,101,0,1,11,14,4980.532253086624,4980.532253086624,0.0
102.0,102,0,1,11,14,5043.021790605215,5043.021790605215,0.0
103.0,103,0,1,11,15,5118.142164517323,5118.142164517323,0.0
104.0,104,0,1,11,15,5200.369464704724,5200.369464704724,0.0
105.0,105,0,1,11,15,5290.22493860731,5290.22493860731,0.0
106.0,106,0,1,11,15,5388.231189725371,5388.231189725371,0.0
107.0,107,0,1,11,15,5466.65022040139,5466.65022040139,0.0
108.0,108,0,1,11,15,5517.788860066228,5517.788860066228,0.0
109.0,109,0,1,11,15,5554.968895160922,5554.968895160922,0.0
110.0,110,0,1,11,15,5598.058888521302,5598.058888521302,0.0
111.0,111,0,1,11,15,5639.347282827293,5639.347282827293,0.0
112.0,112,0,1,11,15,5689.251237045842,5689.251237045842,0.0
113.0,113,0,1,11,15,5738.099990494422,5738.099990494422,0.0
114.0,114,0,1,11,15,5774.454769389462,5774.454769389462,0.0
115.0,115,0,1,11,15,5847.549422842352,5847.549422842352,0.0
116.0,116,0,1,11,15,5893.44948025885,5893.44948025885,0.0
117.0,117,0,1,11,15,5955.926055042507,5955.926055042507,0.0
118.0,118,0,1,11,15,6002.894091822157,6002.894091822157,0.0
119.0,119,0,1,11,15,6032.664237146451,6032.664237146451,0.0
120.0,120,0,1,11,15,6078.459938607487,6078.459938607487,0.0
121.0,121,0,1,11,15,6118.225775655758,6118.225775655758,0.0
122.0,122,0,1,11,15,6153.277572125298,6153.277572125298,0.0
123.0,123,0,1,11,15,6196.191974981227,6196.191974981227,0.0
124.0,124,0,1,11,15,6228.866869682196,6228.866869682196,0.0
125.0,125,0,1,11,15,6271.110947237494,6271.110947237494,0.0
126.0,126,0,1,11,15,6317.655929464033,6317.655929464033,0.0
127.0,127,0,1,11,15,6359.078719229061,6359.078719229061,0.0
128.0,128,0,1,10,15,6412.870832989766,6412.870832989766,0.0
129.0,129,0,1,10,15,6455.8814317606175,6455.8814317606175,0.0
130.0,130,0,1,10,15,6493.992887016117,6493.992887016117,0.0
131.0,131,0,1,10,15,6528.772856978721,6528.772856978721,0.0
132.0,132,0,0,10,15,6567.897977251844,6567.897977251844,0.0
133.0,133,0,0,10,15,6599.258375822817,6599.258375822817,0.0
134.0,134,0,0,10,15,6623.326345775235,6623.326345775235,0.0
135.0,135,0,0,9,15,6633.0600201617945,6633.0600201617945,0.0
136.0,136,0,0,9,15,6654.072367514603,6654.072367514603,0.0
137.0,137,0,0,8,15,6660.975850610986,6660.975850610986,0.0
138.0,138,0,0,8,15,6673.318298467115,6673.318298467115,0.0
139.0,139,0,0,8,15,6686.550175833052,6686.550175833052,0.0
140.0,140,0,0,8,15,6711.375065026844,6711.375065026844,0.0
141.0,141,0,0,8,15,6742.378420458152,6742.378420458152,0.0
142.0,142,0,0,8,15,6774.039369848365,6774.039369848365,0.0
143.0,143,0,0,8,15,6793.7275324267675,6793.7275324267675,0.0
144.0,144,0,0,8,15,6826.944800834626,6826.944800834626,0.0
145.0,145,0,0,8,15,6863.772553988353,6863.772553988353,0.0
146.0,146,0,0,8,15,6914.701538578882,6914.701538578882,0.0
147.0,147,0,0,7,15,6948.922004222633,6948.922004222633,0.0
148.0,148,0,0,7,15,6996.611943395081,6996.611943395081,0.0
