time,vehicle_id,edge_id,duration
48.0,13,-174032652#0,1.0
51.0,25,67792293#4,1.0
53.0,5,174274266#7,1.0
54.0,41,170841497#7,1.0
54.0,11,-174032652#0,1.0
59.0,9,-174032652#0,1.0
65.0,31,-174032652#0,1.0
67.0,20,67792293#4,1.0
68.0,17,174274266#7,1.0
70.0,7,174274266#7,1.0
72.0,46,67792293#4,1.0
74.0,18,174274266#7,1.0
75.0,36,67792293#4,1.0
77.0,34,67792293#4,1.0
77.0,37,170841497#7,1.0
77.0,30,174274266#7,1.0
78.0,0,67792293#3,1.0
80.0,55,-174274266#1,1.0
80.0,44,-174032652#0,1.0
80.0,8,174274266#7,1.0
86.0,32,67792293#3,1.0
87.0,52,-174032652#0,1.0
90.0,81,-170841497#8,1.0
90.0,58,-174032654#1,1.0
92.0,61,174274266#7,1.0
93.0,63,-174032652#0,1.0
93.0,67,174274266#7,1.0
96.0,48,67792293#3,1.0
97.0,78,-174032652#0,1.0
97.0,17,174274266#7,1.0
100.0,7,174274266#7,1.0
101.0,18,174274266#7,1.0
102.0,30,174274266#7,1.0
104.0,8,174274266#7,1.0
106.0,61,174274266#7,1.0
107.0,67,174274266#7,1.0
109.0,16,174274266#7,1.0
127.0,63,-174274266#2,1.0
127.0,13,-67792293#3,1.0
128.0,11,-67792293#3,1.0
129.0,78,-174274266#2,1.0
130.0,74,-174274266#2,1.0
131.0,31,-67792293#3,1.0
134.0,24,-170841497#8,1.0
135.0,16,174274266#7,1.0
136.0,81,67792293#4,1.0
137.0,20,174274266#7,1.0
138.0,0,174274266#7,1.0
138.0,96,67792293#4,1.0
139.0,91,-174032652#0,1.0
141.0,89,67792293#4,1.0
142.0,18,174032652#4,1.0
143.0,48,174274266#7,1.0
143.0,87,-174274266#1,1.0
144.0,98,174032652#4,1.0
145.0,66,174274266#7,1.0
147.0,57,174274266#7,1.0
149.0,72,174274266#7,1.0
154.0,63,-174274266#1,1.0
155.0,29,174032652#4,1.0
156.0,78,-174274266#1,1.0
156.0,41,174274266#7,1.0
157.0,69,-174032652#0,1.0
157.0,76,174274266#6,1.0
157.0,74,-174274266#1,1.0
160.0,51,174274266#6,1.0
161.0,97,174274266#6,1.0
165.0,94,174274266#6,1.0
176.0,71,-174274266#1,1.0
181.0,65,-174274266#1,1.0
182.0,42,-174274266#1,1.0
187.0,20,174274266#7,1.0
219.0,69,-174274266#1,1.0
226.0,78,-170841497#8,1.0
228.0,82,-174274266#1,1.0
236.0,65,-170841497#8,1.0
245.0,79,-170841497#9,1.0
270.0,14,-170841497#1,1.0
