time,gasoline_co2,av_co2,total_gasoline,total_av,gasoline_vehicles,av_vehicles,total_distance
1.0,0.0,0.0,0.0,0.0,0,1,0.0
2.0,2.624722222222222,0.0,2.624722222222222,0.0,1,1,2.0
3.0,3.5562759681806644,0.0,6.180998190402887,0.0,1,2,6.1198041448136795
4.0,7.7067149101036625,0.0,13.887713100506549,0.0,2,2,12.551603665878066
5.0,11.466838471998464,0.0,25.354551572505013,0.0,3,2,20.625481854658574
6.0,16.536042290364453,0.0,41.890593862869466,0.0,4,2,29.939647608902302
7.0,25.177280311598512,0.0,67.06787417446797,0.0,5,2,42.970493525429625
8.0,34.035517220870744,0.0,101.10339139533872,0.0,6,2,57.60013780600857
9.0,31.35690851001647,0.0,132.46029990535519,0.0,7,2,69.57730291756052
10.0,40.99874649890487,0.0,173.45904640426005,0.0,7,2,78.04450772152683
11.0,46.70120833751418,0.0,220.16025474177422,0.0,9,2,85.76672801104485
12.0,49.60706229488664,0.0,269.76731703666087,0.0,10,2,94.47976351618077
13.0,64.47858673589243,0.0,334.24590377255333,0.0,11,2,106.17551836225162
14.0,59.99882098984198,0.0,394.2447247623953,0.0,12,2,114.61459896279985
15.0,43.81938618908051,0.0,438.0641109514758,0.0,13,2,114.68516983255228
16.0,50.843807235498474,0.0,488.90791818697426,0.0,14,2,123.1662087224237
17.0,44.96285763247739,0.0,533.8707758194516,0.0,15,2,132.84452645000383
18.0,58.15896132349652,0.0,592.0297371429482,0.0,16,2,138.58802080217086
19.0,62.8545903848452,0.0,654.8843275277934,0.0,17,2,150.10241619973692
20.0,66.5928526557231,0.0,721.4771801835166,0.0,18,2,166.3164547803802
21.0,88.43057127600562,0.0,809.9077514595222,0.0,19,2,189.9449676034965
22.0,82.10486158124135,0.0,892.0126130407635,0.0,19,2,206.88666086637747
23.0,71.8225596876913,0.0,963.8351727284548,0.0,20,2,208.6921569374075
24.0,87.72851140645304,0.0,1051.5636841349078,0.0,22,2,221.5628061065861
25.0,88.20063391630353,0.0,1139.7643180512114,0.0,23,2,228.0237780082905
26.0,94.79519007554678,0.0,1234.5595081267581,0.0,23,2,237.20189475199007
27.0,91.20432482673887,0.0,1325.763832953497,0.0,23,3,259.67048324287083
28.0,82.0488985058537,0.0,1407.8127314593507,0.0,24,3,264.1126658266004
29.0,74.95262146824847,0.0,1482.7653529275992,0.0,24,3,256.8315595908913
30.0,83.90511241228666,0.0,1566.6704653398858,0.0,25,3,257.6111612199709
31.0,75.91953752332796,0.0,1642.5900028632138,0.0,25,3,253.8399653559497
32.0,73.41745030633824,0.0,1716.007453169552,0.0,25,3,256.48733270688535
33.0,98.8324192891206,0.0,1814.8398724586727,0.0,26,4,273.71014814518696
34.0,98.51964697877459,0.0,1913.3595194374473,0.0,27,4,286.5329882214956
35.0,135.21105401215195,0.0,2048.570573449599,0.0,28,4,308.100717917602
36.0,110.617681036969,0.0,2159.188254486568,0.0,28,5,322.4936080306563
37.0,130.1127582192895,0.0,2289.3010127058574,0.0,28,5,341.92655360113736
38.0,139.82651876994132,0.0,2429.1275314757986,0.0,30,5,352.87169306757323
39.0,128.60390036195338,0.0,2557.731431837752,0.0,31,5,360.4906373691837
40.0,135.61094525595124,0.0,2693.3423770937034,0.0,33,5,369.20958876918695
41.0,127.05398338755896,0.0,2820.3963604812625,0.0,34,5,375.721494056595
42.0,147.35785706608567,0.0,2967.754217547348,0.0,35,5,392.32399627657344
43.0,133.17302394092724,0.0,3100.9272414882753,0.0,36,5,406.3629538478218
44.0,160.68881411882455,0.0,3261.6160556071,0.0,37,5,426.577220748542
45.0,144.09682303325397,0.0,3405.712878640354,0.0,38,5,441.35722624606115
46.0,171.75020853814212,0.0,3577.463087178496,0.0,39,5,457.005750446699
47.0,157.0620500756013,0.0,3734.5251372540974,0.0,39,5,464.8970749041225
48.0,157.14952873581285,0.0,3891.6746659899104,0.0,40,5,459.2600105501307
49.0,183.36679302213668,0.0,4075.041459012047,0.0,41,4,454.3083858128623
50.0,187.48609371874696,0.0,4262.527552730794,0.0,43,4,463.28701106140477
51.0,197.07453024403378,0.0,4459.602082974828,0.0,43,4,472.1957437295253
52.0,178.7300135292657,0.0,4638.332096504093,0.0,42,4,461.987897291715
53.0,172.9716409134167,0.0,4811.30373741751,0.0,42,4,455.04313543188584
54.0,154.99489557729254,0.0,4966.298632994803,0.0,42,4,448.13909626295913
55.0,166.95384028135967,0.0,5133.252473276162,0.0,42,4,444.21996019497396
56.0,140.6592826399688,0.0,5273.911755916131,0.0,42,4,435.45668018427057
57.0,188.673154430058,0.0,5462.58491034619,0.0,40,4,423.5516804266102
58.0,159.7477100824436,0.0,5622.332620428633,0.0,40,4,436.4706684713523
59.0,175.6385104239951,0.0,5797.971130852628,0.0,40,4,452.05135193406505
60.0,188.74143704724514,0.0,5986.712567899874,0.0,40,4,472.0221060372144
61.0,154.9945373825935,0.0,6141.707105282467,0.0,39,4,469.0108963165588
62.0,141.3326856731121,0.0,6283.039790955579,0.0,39,4,463.5459812472206
63.0,140.07456906670808,0.0,6423.114360022287,0.0,39,4,447.3418596677315
64.0,152.5007328272071,0.0,6575.6150928494935,0.0,39,4,436.7108165476171
65.0,139.40382930648786,0.0,6715.018922155981,0.0,39,4,419.7178871237864
66.0,144.5765185678619,0.0,6859.595440723843,0.0,38,4,402.5709801822162
67.0,126.97816567772887,0.0,6986.573606401572,0.0,38,4,397.09323208370716
68.0,165.14265650389643,0.0,7151.716262905468,0.0,38,4,404.2076068708326
69.0,117.61756288222797,0.0,7269.333825787697,0.0,38,4,401.5344147966384
70.0,127.33933948077464,0.0,7396.673165268471,0.0,38,4,392.3785313006208
71.0,116.79643786613086,0.0,7513.469603134602,0.0,37,4,371.023429638122
72.0,120.42484944699319,0.0,7633.894452581595,0.0,37,4,356.99787295237434
73.0,130.45101458497308,0.0,7764.345467166568,0.0,36,4,331.36388413564265
74.0,94.88373681668698,0.0,7859.229203983255,0.0,36,4,309.4713196915512
75.0,98.29785767945101,0.0,7957.527061662706,0.0,36,4,285.7169217107477
76.0,94.45447566866403,0.0,8051.9815373313695,0.0,35,4,252.42463011167777
77.0,96.4172824753185,0.0,8148.398819806688,0.0,35,4,233.8414384932596
78.0,101.46006331108124,0.0,8249.85888311777,0.0,35,4,216.17107236251633
79.0,104.12775234087442,0.0,8353.986635458645,0.0,34,4,206.31915566927665
80.0,115.88968763247127,0.0,8469.876323091115,0.0,34,4,212.7148423428076
81.0,101.34666274361223,0.0,8571.222985834727,0.0,34,4,217.3529153644704
82.0,111.25425538903102,0.0,8682.477241223758,0.0,34,4,222.24357231379975
83.0,112.1179774537665,0.0,8794.595218677525,0.0,34,4,220.17368018480786
84.0,115.30365067681718,0.0,8909.898869354342,0.0,34,4,219.05375996678566
85.0,100.64565846370668,0.0,9010.544527818049,0.0,34,4,216.80604096811993
86.0,114.22503665597452,0.0,9124.769564474023,0.0,33,4,208.29066650998416
87.0,124.90444086219986,0.0,9249.674005336223,0.0,33,4,208.58773845809614
88.0,127.13744482986466,0.0,9376.811450166088,0.0,33,4,212.204470107925
89.0,119.24053886718252,0.0,9496.05198903327,0.0,33,4,216.0772943523707
90.0,124.93672600433169,0.0,9620.988715037602,0.0,33,4,213.65440814313118
91.0,109.20565039341491,0.0,9730.194365431016,0.0,33,4,217.5722161329405
92.0,113.32618423405458,0.0,9843.52054966507,0.0,33,4,231.35704114538564
