time,gasoline_co2,av_co2,total_gasoline,total_av,gasoline_vehicles,av_vehicles
1.0,2.624722222222222,0.0,2.624722222222222,0.0,1,0
2.0,5.584388395993635,0.0,8.209110618215856,0.0,2,0
3.0,9.825240821805657,0.0,18.034351440021513,0.0,3,0
4.0,13.258722844198179,0.0,31.293074284219692,0.0,3,1
5.0,17.21921389833627,0.0,48.51228818255596,0.0,4,1
6.0,23.871283649445797,0.0,72.38357183200176,0.0,5,1
7.0,34.304448194845065,0.0,106.68802002684683,0.0,6,1
8.0,43.54101635713796,0.0,150.2290363839848,0.0,7,1
9.0,43.799825474511536,0.0,194.02886185849633,0.0,7,2
10.0,33.45165624903974,0.0,227.48051810753606,0.0,8,2
11.0,33.31610756767648,0.0,260.79662567521257,0.0,8,3
12.0,28.80745622426835,0.0,289.6040818994809,0.0,9,3
13.0,33.66021497208955,0.0,323.2642968715704,0.0,10,3
14.0,35.85757781812997,0.0,359.1218746897004,0.0,11,3
15.0,36.055037613428304,0.0,395.1769123031287,0.0,12,3
16.0,48.74758237438518,0.0,443.92449467751385,0.0,13,3
17.0,40.15939962111653,0.0,484.08389429863036,0.0,14,3
18.0,50.726129467322586,0.0,534.8100237659529,0.0,15,3
19.0,52.3541282040223,0.0,587.1641519699753,0.0,16,3
20.0,70.39929287044703,0.0,657.5634448404223,0.0,17,3
21.0,84.50780834074955,0.0,742.0712531811719,0.0,18,3
22.0,73.76411417421096,0.0,815.8353673553828,0.0,18,3
23.0,78.63139379095529,0.0,894.4667611463381,0.0,19,3
24.0,73.35052555467149,0.0,967.8172867010096,0.0,20,4
25.0,93.27771667610668,0.0,1061.0950033771162,0.0,21,4
26.0,89.22460173772096,0.0,1150.3196051148373,0.0,22,3
27.0,96.84104420697092,0.0,1247.1606493218083,0.0,23,3
28.0,102.32296354485693,0.0,1349.4836128666652,0.0,24,3
29.0,101.67301121291933,0.0,1451.1566240795846,0.0,24,3
30.0,93.99912449539934,0.0,1545.155748574984,0.0,25,3
31.0,91.09106517387397,0.0,1636.2468137488581,0.0,26,3
32.0,90.09109231748124,0.0,1726.3379060663394,0.0,26,3
33.0,110.27668208832132,0.0,1836.6145881546609,0.0,27,3
34.0,134.8688389717069,0.0,1971.4834271263678,0.0,29,3
35.0,143.27820670618894,0.0,2114.761633832557,0.0,30,3
36.0,141.1123290742834,0.0,2255.8739629068405,0.0,31,3
37.0,122.54052734964672,0.0,2378.414490256487,0.0,32,3
38.0,132.87070736020345,0.0,2511.2851976166908,0.0,33,3
39.0,120.30969970162714,0.0,2631.594897318318,0.0,33,4
40.0,134.18477038547798,0.0,2765.779667703796,0.0,34,4
41.0,151.41374895070328,0.0,2917.1934166544993,0.0,35,4
42.0,141.43487610046614,0.0,3058.6282927549655,0.0,36,4
43.0,122.68432920397548,0.0,3181.312621958941,0.0,37,4
44.0,147.50683857171592,0.0,3328.8194605306567,0.0,37,4
45.0,168.520083996672,0.0,3497.3395445273286,0.0,39,4
46.0,148.75610154511847,0.0,3646.095646072447,0.0,40,4
47.0,143.9807968921897,0.0,3790.0764429646365,0.0,41,3
48.0,137.1933060826871,0.0,3927.269749047324,0.0,42,3
49.0,159.81404625853895,0.0,4087.0837953058626,0.0,43,3
50.0,191.67162856096613,0.0,4278.755423866829,0.0,44,3
51.0,171.14573671198113,0.0,4449.90116057881,0.0,44,3
52.0,177.30168148768252,0.0,4627.202842066493,0.0,44,3
53.0,166.0352673383787,0.0,4793.2381094048715,0.0,44,3
54.0,164.29433009883837,0.0,4957.53243950371,0.0,44,3
55.0,162.6461896660097,0.0,5120.178629169719,0.0,44,3
56.0,122.69342147354698,0.0,5242.8720506432655,0.0,43,3
57.0,139.88098035065894,0.0,5382.753030993925,0.0,42,3
58.0,128.4980675186262,0.0,5511.251098512551,0.0,42,3
59.0,170.62110264304783,0.0,5681.872201155598,0.0,42,3
60.0,172.69194156098422,0.0,5854.564142716583,0.0,42,2
61.0,131.4401387005699,0.0,5986.004281417153,0.0,42,2
62.0,133.21895699767322,0.0,6119.2232384148265,0.0,42,2
63.0,129.27612480575394,0.0,6248.499363220581,0.0,42,2
64.0,120.66344453757262,0.0,6369.162807758154,0.0,42,2
65.0,115.98153574150149,0.0,6485.144343499655,0.0,42,2
66.0,109.44725086206958,0.0,6594.591594361725,0.0,41,2
67.0,116.31112326288617,0.0,6710.902717624611,0.0,41,2
68.0,139.12880881155687,0.0,6850.031526436168,0.0,41,2
69.0,129.71789547985645,0.0,6979.749421916024,0.0,41,2
70.0,146.76919957741126,0.0,7126.518621493436,0.0,40,2
71.0,128.95699458620686,0.0,7255.475616079642,0.0,40,2
72.0,141.708921817295,0.0,7397.184537896937,0.0,39,2
73.0,128.0094117872392,0.0,7525.193949684177,0.0,39,2
74.0,100.2441455185467,0.0,7625.438095202724,0.0,39,2
75.0,100.57822792389894,0.0,7726.016323126623,0.0,38,2
76.0,88.71828338328102,0.0,7814.734606509905,0.0,38,2
77.0,94.10841500333238,0.0,7908.843021513237,0.0,38,2
78.0,99.05853232477831,0.0,8007.901553838015,0.0,38,2
79.0,102.92222647622387,0.0,8110.823780314239,0.0,38,2
