vehicle_id,edge_id,L,g,C,d,T,original_speed,optimal_speed,time
12,-170841497#6,6.82,30.0,120.0,-29.5906362545018,3.4154298923797617,59.976,10.0,13.0
4,174274266#7,62.26,0,90.0,3.7370948379351736,3.1330242337266654,59.976,10.0,17.0
20,-170841497#9,92.1,30.0,120.0,-24.471788715486195,3.4154298923797617,59.976,10.0,21.0
3,-170841497#5,45.79,0,90.0,2.748499399759904,3.1330242337266654,59.976,59.976,26.0
41,-170841497#6,6.82,30.0,120.0,-29.5906362545018,3.4154298923797617,59.976,10.0,42.0
17,174274266#2,47.84,30.0,120.0,-27.12845138055222,3.4154298923797617,59.976,10.0,44.0
6,-174274266#7,62.26,30.0,120.0,-26.262905162064826,3.4154298923797617,59.976,10.0,56.0
16,174274266#2,47.84,30.0,120.0,-27.12845138055222,3.4154298923797617,59.976,10.0,73.0
8,174274266#2,47.84,30.0,120.0,-27.12845138055222,3.4154298923797617,59.976,10.0,82.0
66,170841497#10,19.13,30.0,120.0,-28.85174069627851,3.4154298923797617,59.976,10.0,84.0
54,174274266#2,47.84,30.0,120.0,-27.12845138055222,3.4154298923797617,59.976,10.0,86.0
78,-174032652#0,87.59,0,90.0,5.25750300120048,3.1330242337266654,59.976,10.0,90.0
85,-174274266#3,65.2,30.0,120.0,-26.086434573829532,3.4154298923797617,59.976,10.0,105.0
67,174274266#7,62.26,0,90.0,3.7370948379351736,3.1330242337266654,59.976,10.0,106.0
92,67792293#4,31.19,0,90.0,1.8721488595438176,3.1330242337266654,59.976,59.976,106.0
91,-174032652#2,29.21,30.0,120.0,-28.246698679471788,3.4154298923797617,59.976,10.0,123.0
49,-67792293#1,98.58,30.0,120.0,-24.082833133253303,3.4154298923797617,59.976,10.0,125.0
102,-174032652#1,43.9,30.0,120.0,-27.364945978391358,3.4154298923797617,59.976,10.0,130.0
64,-67792293#4,31.19,30.0,120.0,-28.127851140456183,3.4154298923797617,59.976,10.0,132.0
87,-174274266#1,126.94,0,90.0,7.619447779111645,3.1330242337266654,59.976,10.0,133.0
72,174274266#1,126.96,30.0,120.0,-22.37935174069628,3.4154298923797617,59.976,10.0,135.0
119,170841497#10,19.13,30.0,120.0,-28.85174069627851,3.4154298923797617,59.976,10.0,136.0
23,174274266#1,126.96,30.0,120.0,-22.37935174069628,3.4154298923797617,59.976,10.0,139.0
53,-174274266#7,62.26,30.0,120.0,-26.262905162064826,3.4154298923797617,59.976,10.0,141.0
100,174274266#1,126.96,30.0,120.0,-22.37935174069628,3.4154298923797617,59.976,10.0,146.0
117,174032652#4,26.61,0,90.0,1.5972388955582233,3.1330242337266654,59.976,59.976,148.0
122,170841497#8,20.05,30.0,120.0,-28.796518607442977,3.4154298923797617,59.976,10.0,157.0
123,170841497#10,19.13,30.0,120.0,-28.85174069627851,3.4154298923797617,59.976,10.0,165.0
109,-174274266#7,62.26,30.0,120.0,-26.262905162064826,3.4154298923797617,59.976,10.0,175.0
146,-174274266#3,65.2,30.0,120.0,-26.086434573829532,3.4154298923797617,59.976,10.0,180.0
141,-174274266#7,62.26,30.0,120.0,-26.262905162064826,3.4154298923797617,59.976,10.0,181.0
174,-174032652#0,87.59,0,90.0,5.25750300120048,3.1330242337266654,59.976,10.0,186.0
178,174274266#2,47.84,30.0,120.0,-27.12845138055222,3.4154298923797617,59.976,10.0,210.0
212,-170841497#8,20.05,0,90.0,1.203481392557023,3.1330242337266654,59.976,59.976,230.0
169,170841497#8,20.05,30.0,120.0,-28.796518607442977,3.4154298923797617,59.976,10.0,231.0
175,170841497#8,20.05,30.0,120.0,-28.796518607442977,3.4154298923797617,59.976,10.0,234.0
158,174274266#5,0.42,30.0,120.0,-29.974789915966387,3.4154298923797617,59.976,10.0,235.0
162,170841497#8,20.05,30.0,120.0,-28.796518607442977,3.4154298923797617,59.976,10.0,238.0
201,170841497#10,19.13,30.0,120.0,-28.85174069627851,3.4154298923797617,59.976,10.0,243.0
150,174032652#0,87.55,30.0,120.0,-24.744897959183675,3.4154298923797617,59.976,10.0,247.0
236,-174032652#4,27.3,30.0,120.0,-28.361344537815125,3.4154298923797617,59.976,10.0,247.0
197,-67792293#3,64.01,30.0,120.0,-26.157863145258105,3.4154298923797617,59.976,10.0,250.0
192,-67792293#1,98.58,30.0,120.0,-24.082833133253303,3.4154298923797617,59.976,10.0,251.0
132,-67792293#4,31.19,30.0,120.0,-28.127851140456183,3.4154298923797617,59.976,10.0,261.0
167,-174274266#7,62.26,30.0,120.0,-26.262905162064826,3.4154298923797617,59.976,10.0,263.0
285,-170841497#4,305.52,0,90.0,18.338535414165666,3.1330242337266654,59.976,10.0,286.0
164,174274266#7,62.26,0,90.0,3.7370948379351736,3.1330242337266654,59.976,10.0,288.0
289,-170841497#6,6.82,30.0,120.0,-29.5906362545018,3.4154298923797617,59.976,10.0,290.0
223,174274266#4,9.2,30.0,120.0,-29.447779111644657,3.4154298923797617,59.976,10.0,298.0
202,67792293#3,64.01,30.0,120.0,-26.157863145258105,3.4154298923797617,59.976,10.0,313.0
213,174274266#1,126.96,30.0,120.0,-22.37935174069628,3.4154298923797617,59.976,10.0,313.0
221,174032652#0,87.55,30.0,120.0,-24.744897959183675,3.4154298923797617,59.976,10.0,318.0
233,174274266#7,62.26,0,90.0,3.7370948379351736,3.1330242337266654,59.976,10.0,323.0
260,-174274266#7,62.26,30.0,120.0,-26.262905162064826,3.4154298923797617,59.976,10.0,328.0
266,-174274266#6,73.28,30.0,120.0,-25.60144057623049,3.4154298923797617,59.976,10.0,334.0
220,-174274266#1,126.94,0,90.0,7.619447779111645,3.1330242337266654,59.976,10.0,338.0
224,-174274266#3,65.2,30.0,120.0,-26.086434573829532,3.4154298923797617,59.976,10.0,362.0
262,174032652#2,28.66,30.0,120.0,-28.2797118847539,3.4154298923797617,59.976,10.0,398.0
284,-174274266#7,62.26,30.0,120.0,-26.262905162064826,3.4154298923797617,59.976,10.0,408.0
271,174032652#0,87.55,30.0,120.0,-24.744897959183675,3.4154298923797617,59.976,10.0,412.0
225,-174274266#3,65.2,30.0,120.0,-26.086434573829532,3.4154298923797617,59.976,10.0,422.0
290,-174274266#7,62.26,30.0,120.0,-26.262905162064826,3.4154298923797617,59.976,10.0,429.0
270,174274266#2,47.84,30.0,120.0,-27.12845138055222,3.4154298923797617,59.976,10.0,437.0
228,-174274266#3,65.2,30.0,120.0,-26.086434573829532,3.4154298923797617,59.976,10.0,444.0
272,-174274266#3,65.2,30.0,120.0,-26.086434573829532,3.4154298923797617,59.976,10.0,450.0
288,174274266#2,47.84,30.0,120.0,-27.12845138055222,3.4154298923797617,59.976,10.0,515.0
