time,vehicle_id,L,S,R,signal_state,new_lane,previous_lane
28.0,dyn_2013,46.807132,118.0,33.0,,-174274266#2_0,-174274266#3_0
30.0,3,297.194413,120.0,82.0,GREEN,-170841497#4_0,-170841497#5_0
32.0,dyn_2013,126.77518,122.0,33.0,,-174274266#1_0,-174274266#2_0
35.0,dyn_2001,299.346818,125.0,82.0,GREEN,-170841497#4_0,-170841497#5_0
36.0,2,64.136728,126.0,33.0,,-174274266#3_0,-174274266#4_0
47.0,dyn_2002,64.136728,90.0,123.0,,-174274266#3_0,-174274266#4_0
49.0,17,60.40986600000001,90.0,123.0,,174274266#3_0,174274266#2_0
54.0,dyn_2006,70.04651799999999,90.0,123.0,,-174274266#6_0,-174274266#7_0
55.0,dyn_2001,348.22551799999997,145.0,82.0,GREEN,-170841497#3_0,-170841497#4_0
57.0,7,63.69975999999999,90.0,123.0,,174274266#3_0,174274266#2_0
64.0,0,12.100237404129928,90.0,129.0,,67792292_0,170841497#10_0
66.0,dyn_2027,9.153097450853995,90.0,129.0,,67792292_0,170841497#10_0
68.0,dyn_2006,124.70376999999999,90.0,123.0,,-174274266#1_0,-174274266#2_0
79.0,dyn_2001,1242.945487,169.0,82.0,GREEN,-170841497#2_0,-170841497#3_0
79.0,dyn_2003,46.67259400000001,90.0,123.0,,-174274266#2_0,-174274266#3_0
98.0,16,64.22511025055444,188.0,123.0,,174274266#3_0,174274266#2_0
100.0,28,347.74561400000016,190.0,172.0,GREEN,170841497#3_0,170841497#2_0
103.0,11,71.60153848729108,193.0,123.0,,-174274266#6_0,-174274266#7_0
104.0,13,8.853429999999987,194.0,123.0,,-174274266#4_0,-174274266#6_0
107.0,41,12.524713000000016,197.0,129.0,,67792292_0,170841497#10_0
113.0,dyn_2013,13.043191999999987,203.0,129.0,,-170841497#10_0,-67792293#0_0
114.0,11,47.81180048729109,204.0,123.0,,-174274266#2_0,-174274266#3_0
120.0,20,58.39812337929247,210.0,123.0,,174274266#3_0,174274266#2_0
120.0,28,295.115702,210.0,172.0,GREEN,170841497#4_0,170841497#3_0
120.0,44,46.93379993352338,210.0,123.0,,-174274266#2_0,-174274266#3_0
120.0,dyn_2006,13.942874072882379,210.0,129.0,,-170841497#10_0,-67792293#0_0
120.0,dyn_2015,26.87145936556223,210.0,129.0,,174032652#2_0,174032652#1_0
125.0,13,63.60727555388873,215.0,129.0,,-67792293#3_0,-67792293#4_0
125.0,dyn_2015,136.58087936556223,215.0,129.0,GREEN,174032654#0_0,174032652#4_0
126.0,11,27.673904487291082,216.0,129.0,YELLOW,-67792293#4_0,-174274266#1_0
133.0,dyn_2015,80.77195136556226,223.0,169.0,GREEN,174032654#1_0,174032654#0_0
137.0,28,37.246246000000035,227.0,172.0,GREEN,170841497#5_0,170841497#4_0
140.0,48,64.11740349083894,180.0,213.0,,174274266#3_0,174274266#2_0
144.0,11,13.597928629490728,180.0,219.0,,-170841497#10_0,-67792293#0_0
144.0,42,70.00099999999999,180.0,213.0,,-174274266#6_0,-174274266#7_0
147.0,0,60.7242528544419,180.0,213.0,,174274266#7_0,174274266#6_0
149.0,dyn_2015,122.720474,180.0,219.0,GREEN,-174032654#0_0,-174032654#1_0
160.0,dyn_2001,168.92548700000006,250.0,172.0,GREEN,-170841497#1_0,-170841497#2_0
172.0,dyn_2001,213.06081100000003,,,GREEN,-170841497#0_0,-170841497#1_0
194.0,18,76.411356,284.0,259.0,GREEN,174032654#1_0,174032654#0_0
195.0,dyn_2034,123.74675,285.0,213.0,GREEN,174274266#1_0,67792293#4_0
206.0,dyn_2001,170.657815,296.0,262.0,GREEN,170841497#1_0,170841497#0_0
214.0,dyn_2000,77.30901739999997,304.0,259.0,GREEN,174032654#1_0,174032654#0_0
223.0,dyn_2001,1246.601094,313.0,262.0,GREEN,170841497#2_0,170841497#1_0
228.0,dyn_2033,17.86564800000001,270.0,309.0,,-170841497#10_0,-67792293#0_0
230.0,dyn_2000,124.0488,270.0,309.0,GREEN,-174032654#0_0,-174032654#1_0
235.0,dyn_2040,64.38786400000001,270.0,303.0,,174274266#3_0,174274266#2_0
248.0,dyn_2061,13.983023250570184,270.0,309.0,,67792292_0,170841497#10_0
252.0,dyn_2058,12.809698999999991,270.0,309.0,,67792292_0,170841497#10_0
274.0,dyn_2057,40.41682000000001,364.0,303.0,,-174274266#2_0,-174274266#3_0
292.0,dyn_2084,44.163819999999994,382.0,303.0,,-174274266#2_0,-174274266#3_0
294.0,dyn_2085,47.05952831604936,384.0,303.0,,-174274266#2_0,-174274266#3_0
307.0,dyn_2101,339.4044419999999,397.0,352.0,GREEN,-170841497#3_0,-170841497#4_0
340.0,dyn_2072,46.11746012050063,360.0,393.0,,-174274266#2_0,-174274266#3_0
348.0,dyn_2091,47.01262515577887,360.0,393.0,,-174274266#2_0,-174274266#3_0
365.0,dyn_2093,60.85176799999999,455.0,393.0,,174274266#3_0,174274266#2_0
